label	uid	hemisphere	name	lobe
1	L_bankssts	L	bankssts	temporal
2	L_caudalanteriorcingulate	L	caudalanteriorcingulate	cingulate
3	L_caudalmiddlefrontal	L	caudalmiddlefrontal	frontal
4	L_corpuscallosum	L	corpuscallosum	cingulate
5	L_cuneus	L	cuneus	occipital
6	L_entorhinal	L	entorhinal	temporal
7	L_fusiform	L	fusiform	temporal
8	L_inferiorparietal	L	inferiorparietal	parietal
9	L_inferiortemporal	L	inferiortemporal	temporal
10	L_isthmuscingulate	L	isthmuscingulate	cingulate
11	L_lateraloccipital	L	lateraloccipital	occipital
12	L_lateralorbitofrontal	L	lateralorbitofrontal	frontal
13	L_lingual	L	lingual	occipital
14	L_medialorbitofrontal	L	medialorbitofrontal	frontal
15	L_middletemporal	L	middletemporal	temporal
16	L_parahippocampal	L	parahippocampal	temporal
17	L_paracentral	L	paracentral	central
18	L_parsopercularis	L	parsopercularis	frontal
19	L_parsorbitalis	L	parsorbitalis	frontal
20	L_parstriangularis	L	parstriangularis	frontal
21	L_pericalcarine	L	pericalcarine	occipital
22	L_postcentral	L	postcentral	central
23	L_posteriorcingulate	L	posteriorcingulate	cingulate
24	L_precentral	L	precentral	central
25	L_precuneus	L	precuneus	parietal
26	L_rostralanteriorcingulate	L	rostralanteriorcingulate	cingulate
27	L_rostralmiddlefrontal	L	rostralmiddlefrontal	frontal
28	L_superiorfrontal	L	superiorfrontal	frontal
29	L_superiorparietal	L	superiorparietal	parietal
30	L_superiortemporal	L	superiortemporal	temporal
31	L_supramarginal	L	supramarginal	parietal
32	L_frontalpole	L	frontalpole	frontal
33	L_temporalpole	L	temporalpole	temporal
34	L_transversetemporal	L	transversetemporal	temporal
35	L_insula	L	insula	insula
36	R_bankssts	R	bankssts	temporal
37	R_caudalanteriorcingulate	R	caudalanteriorcingulate	cingulate
38	R_caudalmiddlefrontal	R	caudalmiddlefrontal	frontal
39	R_corpuscallosum	R	corpuscallosum	cingulate
40	R_cuneus	R	cuneus	occipital
41	R_entorhinal	R	entorhinal	temporal
42	R_fusiform	R	fusiform	temporal
43	R_inferiorparietal	R	inferiorparietal	parietal
44	R_inferiortemporal	R	inferiortemporal	temporal
45	R_isthmuscingulate	R	isthmuscingulate	cingulate
46	R_lateraloccipital	R	lateraloccipital	occipital
47	R_lateralorbitofrontal	R	lateralorbitofrontal	frontal
48	R_lingual	R	lingual	occipital
49	R_medialorbitofrontal	R	medialorbitofrontal	frontal
50	R_middletemporal	R	middletemporal	temporal
51	R_parahippocampal	R	parahippocampal	temporal
52	R_paracentral	R	paracentral	central
53	R_parsopercularis	R	parsopercularis	frontal
54	R_parsorbitalis	R	parsorbitalis	frontal
55	R_parstriangularis	R	parstriangularis	frontal
56	R_pericalcarine	R	pericalcarine	occipital
57	R_postcentral	R	postcentral	central
58	R_posteriorcingulate	R	posteriorcingulate	cingulate
59	R_precentral	R	precentral	central
60	R_precuneus	R	precuneus	parietal
61	R_rostralanteriorcingulate	R	rostralanteriorcingulate	cingulate
62	R_rostralmiddlefrontal	R	rostralmiddlefrontal	frontal
63	R_superiorfrontal	R	superiorfrontal	frontal
64	R_superiorparietal	R	superiorparietal	parietal
65	R_superiortemporal	R	superiortemporal	temporal
66	R_supramarginal	R	supramarginal	parietal
67	R_frontalpole	R	frontalpole	frontal
68	R_temporalpole	R	temporalpole	temporal
69	R_transversetemporal	R	transversetemporal	temporal
70	R_insula	R	insula	insula
